url	first_seen	portal	title	company	status	location
https://job-boards.greenhouse.io/grafanalabs/jobs/5988483004	2026-06-24	greenhouse-api	Staff Backend Engineer - Grafana App Platform | Canada | Remote	Grafana Labs	added	Canada (Remote)
https://job-boards.greenhouse.io/grafanalabs/jobs/5988484004	2026-06-24	greenhouse-api	Staff Backend Engineer - Grafana App Platform | US | Remote	Grafana Labs	added	United States (Remote)
https://job-boards.greenhouse.io/grafanalabs/jobs/6007413004	2026-06-24	greenhouse-api	Staff Backend Engineer - Grafana Enterprise | Canada | Remote	Grafana Labs	added	Canada (Remote)
https://job-boards.greenhouse.io/grafanalabs/jobs/6007414004	2026-06-24	greenhouse-api	Staff Backend Engineer - Grafana Enterprise | US | Remote	Grafana Labs	added	United States (Remote)
https://job-boards.greenhouse.io/grafanalabs/jobs/5978590004	2026-06-24	greenhouse-api	Staff Backend Engineer - Session Replay | Canada | Remote	Grafana Labs	added	Canada (Remote)
https://job-boards.greenhouse.io/grafanalabs/jobs/5978589004	2026-06-24	greenhouse-api	Staff Backend Engineer - Session Replay | USA | Remote	Grafana Labs	added	United States (Remote)
https://job-boards.greenhouse.io/grafanalabs/jobs/6011797004	2026-06-24	greenhouse-api	Staff Software Engineer | Canada |Remote	Grafana Labs	added	Canada (Remote)
https://job-boards.greenhouse.io/grafanalabs/jobs/6013355004	2026-06-24	greenhouse-api	Staff Software Engineer - Platform, SysEng | Canada | Remote	Grafana Labs	added	Canada (Remote)
https://job-boards.greenhouse.io/grafanalabs/jobs/6013354004	2026-06-24	greenhouse-api	Staff Software Engineer - Platform, SysEng | USA | Remote	Grafana Labs	added	United States (Remote)
https://job-boards.greenhouse.io/grafanalabs/jobs/5735539004	2026-06-24	greenhouse-api	Staff Software Engineer | United States | Remote	Grafana Labs	added	United States (Remote)
https://job-boards.greenhouse.io/intercom/jobs/7556413	2026-06-24	greenhouse-api	Forward Deployed Software Engineer	Intercom	added	London, England
https://job-boards.greenhouse.io/intercom/jobs/6949785	2026-06-24	greenhouse-api	Senior Engineer, AI Developer	Intercom	added	Dublin, Ireland
https://job-boards.greenhouse.io/intercom/jobs/7731665	2026-06-24	greenhouse-api	Senior Engineer, Infrastructure Platform	Intercom	added	Dublin, Ireland
https://job-boards.greenhouse.io/intercom/jobs/7699745	2026-06-24	greenhouse-api	Senior Engineering Manager - Developer Experience Platform	Intercom	added	Dublin, Ireland
https://job-boards.greenhouse.io/intercom/jobs/7610485	2026-06-24	greenhouse-api	Senior Engineering Manager - Team Billing	Intercom	added	London, England
https://job-boards.greenhouse.io/intercom/jobs/7274831	2026-06-24	greenhouse-api	Senior Full Stack Engineer - Team Web	Intercom	added	Dublin, Ireland
https://job-boards.greenhouse.io/intercom/jobs/5082494	2026-06-24	greenhouse-api	Senior Software Engineer	Intercom	added	Dublin, Ireland
https://www.druva.com/why-druva/explore/careers/jobs/8370082002/?gh_jid=8370082002	2026-06-24	greenhouse-api	Senior Staff Software Engineer	Druva	added	Pune, Maharashtra, India
